Ano,Função,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2008,06 - Segurança Pública,5541354032,5770500227,7730222319,6581461356,5523151766,5496227891
2008,07 - Relações Exteriores,1819189176,1581267146,1715036364,1921977913,1904888142,1872140415
2008,08 - Assistência Social,28516223623,28595259595,29116379114,28845211480,28660748961,28451342913
2008,09 - Previdência Social,252193248351,252744591152,259650764383,258586392156,257543728562,240726250255
2008,10 - Saúde,47745760210,48499012638,52738361425,50138518345,44552547915,44454924556
2008,11 - Trabalho,21711876237,21849538441,23800825725,22694747167,21982761229,21980535166
2008,12 - Educação,26964370006,27431582720,29963335502,28250881854,24608226102,23755503060
2008,13 - Cultura,956425868,1070264386,1239724612,897912541,547807744,545358778
2008,14 - Direitos da Cidadania,1585074141,1458588741,2081937754,1510291161,976093984,937802092
2008,15 - Urbanismo,2371982827,4713492635,6057335368,4341456767,1120325291,1093175710
2008,16 - Habitação,1278694000,1008043932,1269455989,1044746401,152802023,151389760
2008,17 - Saneamento,1661341962,1371422781,1988370570,1781597820,478159615,477938652
2008,18 - Gestão Ambiental,3917761837,4130803643,4448877740,3754308230,1487058312,1484306217
2008,19 - Ciência e Tecnologia,4946837293,5059231248,5514205996,5224803222,4103683561,3993237803
2008,20 - Agricultura,14955237630,14784977295,15383145685,9773352433,7951564112,7766117263
2008,21 - Organização Agrária,5247671592,4982535128,5984462175,4522058933,2514453104,2487798446
2008,22 - Indústria,2276566564,2342937099,2558022713,2279123663,2124791090,1553131644
2008,23 - Comércio e Serviços,2910939873,4233860427,5380120640,3375364986,1340587247,1336444133
2008,24 - Comunicações,712196930,633331134,660139063,531330507,406737098,406718230
2008,25 - Energia,699817335,630271770,798671041,534020738,462172110,458799596
2008,26 - Transporte,12528439802,13306697055,16232826207,13114223760,4860813037,4710786064
2008,27 - Desporto e Lazer,284206178,1138886479,1392795119,963810870,204006637,203308684
2008,28 - Encargos Especiais,816715175252,824678289647,984624484352,742255871284,732829605903,732063096994
2008,99 - Reserva de Contingência,22380433158,22232518752,21658108191,0,0,0
2009,01 - Legislativa,5810394571,5712634895,5592637365,5163880131,4786359744,4779593208
2009,02 - Judiciária,20728967146,20733776807,20756505244,20463605786,19163586540,19129926087
2009,03 - Essencial à Justiça,5022222435,4986787572,5157836607,4994721417,4747366406,4743679144
2009,04 - Administração,23154174056,21647606315,18903218028,17078292135,15238303528,15054024479
2009,05 - Defesa Nacional,26289134809,25912400425,29272409693,26147139833,23263422703,23081548170
2009,06 - Segurança Pública,6490909320,6587355592,8895756696,7991291125,6542695653,6501298268
2009,07 - Relações Exteriores,1893466639,1676027203,1880882132,1548807996,1521873643,1521814404
2009,08 - Assistência Social,33107647574,32683705705,34328677411,33335541043,33116086440,32961253320
2009,09 - Previdência Social,293198237754,293030008349,294499067640,291079255477,290185640600,276864892137
2009,10 - Saúde,54662132761,54739903044,59558837469,58148973463,49733158456,49561033568
2009,11 - Trabalho,26799717651,26653339396,30657681605,29300856977,28630575972,28617905023
2009,12 - Educação,37632963962,36483290274,39904822756,36679526521,31709359179,30749363229
