date,nlikes,nreplies,nretweets,NInterações
2021-06-26 20:11:39,25,2,4,31
2021-06-26 20:11:46,1,0,0,1
2021-06-26 20:11:49,0,0,0,0
2021-06-26 20:11:51,0,0,0,0
2021-06-26 20:11:52,14,0,3,17
2021-06-26 20:11:53,1,1,0,2
2021-06-26 20:11:59,13,1,2,16
2021-06-26 20:12:00,1,0,0,1
2021-06-26 20:12:02,1,0,0,1
2021-06-26 20:12:07,0,0,0,0
2021-06-26 20:12:11,0,1,0,1
2021-06-26 20:12:20,0,0,0,0
2021-06-26 20:12:23,0,0,0,0
2021-06-26 20:12:31,1,0,0,1
2021-06-26 20:12:32,1,0,0,1
2021-06-26 20:12:33,1,2,0,3
2021-06-26 20:12:34,4,0,0,4
2021-06-26 20:12:36,0,0,0,0
2021-06-26 20:12:47,0,0,0,0
2021-06-26 20:12:49,0,0,0,0
2021-06-26 20:12:51,3,0,1,4
2021-06-26 20:12:56,2,0,0,2
2021-06-26 20:13:01,1,0,0,1
2021-06-26 20:13:02,3,0,0,3
2021-06-26 20:13:03,1,0,0,1
2021-06-26 20:13:06,1,0,0,1
2021-06-26 20:13:10,0,0,0,0
2021-06-26 20:13:12,1,0,0,1
2021-06-26 20:13:13,1,0,0,1
2021-06-26 20:13:15,71,3,38,112
2021-06-26 20:13:25,1252,8,262,1522
2021-06-26 20:13:30,2,0,0,2
2021-06-26 20:13:31,2,0,0,2
2021-06-26 20:13:37,3,0,2,5
2021-06-26 20:13:41,1,0,0,1
2021-06-26 20:13:44,2,0,1,3
2021-06-26 20:13:47,0,0,0,0
2021-06-26 20:13:50,2,0,0,2
2021-06-26 20:14:03,10,1,5,16
2021-06-26 20:14:24,0,0,0,0
2021-06-26 20:14:25,1,0,0,1
2021-06-26 20:14:34,30,0,3,33
2021-06-26 20:14:35,18,0,0,18
2021-06-26 20:14:40,14,0,5,19
2021-06-26 20:14:41,0,0,0,0
2021-06-26 20:14:42,10,0,4,14
2021-06-26 20:14:43,0,0,0,0
2021-06-26 20:14:44,1,0,0,1
2021-06-26 20:15:04,2,0,0,2
2021-06-26 20:15:06,182,7,61,250
2021-06-26 20:15:10,0,0,0,0
2021-06-26 20:15:11,1,0,0,1
2021-06-26 20:15:12,0,0,0,0
2021-06-26 20:15:14,0,0,0,0
2021-06-26 20:15:28,45,2,7,54
2021-06-26 20:15:31,2,0,1,3
2021-06-26 20:15:33,1,1,0,2
2021-06-26 20:15:37,11,0,1,12
2021-06-26 20:15:38,1,1,0,2
2021-06-26 20:15:47,23,1,6,30
2021-06-26 20:15:49,1,0,0,1
2021-06-26 20:15:50,1,0,0,1
2021-06-26 20:15:52,9,0,5,14
2021-06-26 20:15:53,0,0,0,0
2021-06-26 20:15:54,2,2,1,5
2021-06-26 20:15:56,3,0,0,3
2021-06-26 20:15:57,4,0,2,6
2021-06-26 20:15:59,4,0,0,4
2021-06-26 20:16:02,5,0,0,5
2021-06-26 20:16:03,1,1,0,2
2021-06-26 20:16:04,2085,17,231,2333
2021-06-26 20:16:07,0,0,0,0
2021-06-26 20:16:08,0,0,0,0
2021-06-26 20:16:10,3,0,0,3
2021-06-26 20:16:12,1,0,0,1
2021-06-26 20:16:13,4,0,0,4
2021-06-26 20:16:16,0,0,0,0
2021-06-26 20:16:18,0,0,0,0
2021-06-26 20:16:20,2,0,0,2
2021-06-26 20:16:26,0,0,0,0
2021-06-26 20:16:27,2,0,0,2
2021-06-26 20:16:34,4,0,1,5
2021-06-26 20:16:37,342,9,82,433
2021-06-26 20:16:39,0,0,0,0
2021-06-26 20:16:41,0,0,0,0
2021-06-26 20:16:44,0,0,0,0
2021-06-26 20:16:45,2,0,0,2
2021-06-26 20:16:50,0,0,0,0
2021-06-26 20:16:52,0,0,0,0
2021-06-26 20:16:53,0,0,0,0
2021-06-26 20:16:57,57,2,10,69
2021-06-26 20:17:03,0,0,0,0
2021-06-26 20:17:05,1,0,0,1
2021-06-26 20:17:07,2,0,0,2
2021-06-26 20:17:13,23,5,6,34
2021-06-26 20:17:19,1,0,0,1
2021-06-26 20:17:20,0,0,0,0
2021-06-26 20:17:23,1,0,0,1
2021-06-26 20:17:27,45,0,13,58
2021-06-26 20:17:32,1,0,0,1
2021-06-26 20:17:34,0,0,0,0
2021-06-26 20:17:40,0,0,0,0
2021-06-26 20:17:51,0,0,0,0
2021-06-26 20:17:53,0,0,0,0
2021-06-26 20:17:54,5,0,1,6
2021-06-26 20:17:57,0,0,0,0
2021-06-26 20:18:09,129,6,43,178
2021-06-26 20:18:10,0,0,0,0
2021-06-26 20:18:12,0,0,0,0
2021-06-26 20:18:14,8,0,5,13
2021-06-26 20:18:17,0,0,0,0
2021-06-26 20:18:20,0,0,0,0
2021-06-26 20:18:21,0,0,0,0
2021-06-26 20:18:22,56,2,20,78
2021-06-26 20:18:27,7,0,0,7
2021-06-26 20:18:29,1,0,0,1
2021-06-26 20:18:32,7,0,0,7
